is_static,is_enum,uses_variables,call_method,is_interface,is_local_class,call_external_method,full_name,is_code_smell
False,False,False,False,False,False,False,com.androidemu.nes.KeyProfilesActivity$2,true
False,False,False,False,False,False,False,com.androidemu.nes.KeyProfilesActivity$1,true
False,False,False,False,False,False,False,com.androidemu.nes.StateSlotsActivity$SaveSlotAdapter,true
False,False,False,False,False,False,False,com.androidemu.nes.NetPlayService$TCPClientThread,true
False,False,False,False,False,False,False,com.androidemu.nes.NetPlayService$BluetoothServerThread,true
False,False,False,False,False,False,False,com.androidemu.nes.MainActivity$1,true
False,False,False,False,False,False,False,com.androidemu.nes.HelpActivity$1,true
False,False,False,False,False,False,False,anupam.acrylic.EasyPaint$2,true
False,False,False,False,False,False,False,anupam.acrylic.EasyPaint$1,true
False,False,False,False,False,False,False,anupam.acrylic.Splash$1,true
False,False,False,False,False,False,False,anupam.acrylic.EasyPaint$6,true
False,False,False,False,False,False,False,anupam.acrylic.EasyPaint$5,true
False,False,False,False,False,False,False,anupam.acrylic.EasyPaint$4,true
False,False,False,False,False,False,False,anupam.acrylic.EasyPaint$3,true
False,False,False,False,False,False,False,anupam.acrylic.EasyPaint$MyView,true
False,False,False,False,False,False,False,anupam.acrylic.ColorPickerDialog$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.utils.PaletteHelper$1$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$4,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$5,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$3,true
False,False,False,False,False,False,False,org.bottiger.podcast.Player.LegacyRemoteController$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.utils.FragmentUtils$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.FragmentContainerActivity$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.FragmentContainerActivity$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.Player.SoundWavesPlayer$3,true
False,False,False,False,False,False,False,org.bottiger.podcast.Player.SoundWavesPlayer$4,true
False,False,False,False,False,False,False,org.bottiger.podcast.Player.SoundWavesPlayer$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.Player.SoundWavesPlayer$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.adapters.PlaylistAdapter$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.adapters.PlaylistAdapter$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogSearchDirectory$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.ToolbarActivity$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.ToolbarPreference$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.adapters.SubscriptionGridCursorAdapter$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.adapters.SubscriptionGridCursorAdapter$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.FeedViewQueueButton$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.provider.Subscription$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.service.Downloader.SubscriptionRefreshManager$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.service.Downloader.SubscriptionRefreshManager$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.playlist.GenericSubscriptionLoader$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.PlayerSeekbar$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.Player.PlayerStateManager$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.service.Downloader.engines.OkHttpDownloader$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.SubscriptionsFragment$3,true
False,False,False,False,False,False,False,org.bottiger.podcast.SubscriptionsFragment$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.SubscriptionsFragment$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.SubscriptionsFragment$4,true
False,False,False,False,False,False,False,org.bottiger.podcast.FeedActivity$4,true
False,False,False,False,False,False,False,org.bottiger.podcast.FeedActivity$3,true
False,False,False,False,False,False,False,org.bottiger.podcast.FeedActivity$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.FeedActivity$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.FeedActivity$7,true
False,False,False,False,False,False,False,org.bottiger.podcast.FeedActivity$6,true
False,False,False,False,False,False,False,org.bottiger.podcast.FeedActivity$5,true
False,False,False,False,False,False,False,org.bottiger.podcast.PodcastSubscriberActivity$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.utils.OPMLImportExport$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.playlist.ReorderCursor$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.playlist.GenericCursorLoader$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.playlist.GenericCursorLoader$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.DownloadButtonView$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.fetcher.StreamDownloader$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.MainActivity$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogOPML$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogOPML$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogOPML$3,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogOPML$4,true
False,False,False,False,False,False,False,org.bottiger.podcast.SettingsActivity$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.utils.navdrawer.NavigationDrawerMenuGenerator$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.utils.navdrawer.NavigationDrawerMenuGenerator$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.adapters.DiscoverySearchAdapter$3,true
False,False,False,False,False,False,False,org.bottiger.podcast.adapters.DiscoverySearchAdapter$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.adapters.DiscoverySearchAdapter$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.DiscoveryFeedActivity$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.service.PlayerService$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogBulkDownload$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogBulkDownload$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogBulkDownload$3,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogBulkDownload$4,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogBulkDownload$5,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.dialogs.DialogBulkDownload$6,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$3,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$5,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$4,true
False,False,False,False,False,False,False,org.bottiger.podcast.DrawerActivity$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.DrawerActivity$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.DrawerActivity$3,true
False,False,False,False,False,False,False,org.bottiger.podcast.DrawerActivity$4,true
False,False,False,False,False,False,False,org.bottiger.podcast.DrawerActivity$5,true
False,False,False,False,False,False,False,org.bottiger.podcast.DrawerActivity$6,true
False,False,False,False,False,False,False,org.bottiger.podcast.DrawerActivity$7,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$7,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$6,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$9,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$8,true
False,False,False,False,False,False,False,org.bottiger.podcast.FeedActivity$analyzeWhitenessOfPhotoPostProcessor$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.adapters.AbstractPodcastAdapter$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.MultiShrink.playlist.MultiShrinkScroller$3,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.MultiShrink.playlist.MultiShrinkScroller$4,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.MultiShrink.playlist.MultiShrinkScroller$5,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.MultiShrink.playlist.MultiShrinkScroller$6,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.MultiShrink.playlist.MultiShrinkScroller$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.utils.navdrawer.NavItem$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.SwipeDismissRecyclerViewTouchListener$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.SwipeDismissRecyclerViewTouchListener$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.SwipeDismissRecyclerViewTouchListener$3,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.SwipeDismissRecyclerViewTouchListener$4,true
False,False,False,False,False,False,False,org.bottiger.podcast.DiscoveryFragment$3,true
False,False,False,False,False,False,False,org.bottiger.podcast.DiscoveryFragment$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.DiscoveryFragment$4,true
False,False,False,False,False,False,False,org.bottiger.podcast.DiscoveryFragment$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.receiver.PodcastUpdateReceiver$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.TintedFramelayout$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.service.HTTPDService$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.views.MultiSpinner$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.notification.NotificationPlayer$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.PlaylistFragment$1,true
False,False,False,False,False,False,False,org.bottiger.podcast.PlaylistFragment$2,true
False,False,False,False,False,False,False,org.bottiger.podcast.PlaylistFragment$3,true
False,False,False,False,False,False,False,org.bottiger.podcast.PlaylistFragment$4,true
False,False,False,False,False,False,False,org.bottiger.podcast.PlaylistFragment$5,true
False,False,False,False,False,False,False,org.bottiger.podcast.PlaylistFragment$6,true
False,False,False,False,False,False,False,org.bottiger.podcast.PlaylistFragment$7,true
False,False,False,False,False,False,False,org.mariotaku.twidere.activity.support.UserListSelectorActivity$GetUserListsTask$1,true
False,False,False,False,False,False,False,org.mariotaku.twidere.view.StatusTextView$SafeEditableFactory,true
False,False,False,False,False,False,False,org.mariotaku.twidere.util.AsyncTwitterWrapper$CreateSavedSearchTask,true
False,False,False,False,False,False,False,org.mariotaku.twidere.preference.SeekBarDialogPreference$1,true
False,False,False,False,False,False,False,org.mariotaku.twidere.util.AsyncTwitterWrapper$DestroyMuteTask,true
False,False,False,False,False,False,False,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$1,true
False,False,False,False,False,False,False,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$2,true
False,False,False,False,False,False,False,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$3,true
False,False,False,False,False,False,False,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$4,true
False,False,False,False,False,False,False,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$5,true
False,False,False,False,False,False,False,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$6,true
False,False,False,False,False,False,False,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$7,true
False,False,False,False,False,False,False,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$8,true
False,False,False,False,False,False,False,org.mariotaku.twidere.activity.TwitterLinkHandlerActivity$TwitterLinkException,true
False,False,False,False,False,False,False,org.mariotaku.twidere.nyan.NyanWallpaperService$NyanWallpaperEngine,true
False,False,False,False,False,False,False,org.mariotaku.twidere.util.AsyncTwitterWrapper$CreateUserListTask,true
False,False,False,False,False,False,False,org.mariotaku.twidere.util.TwidereActionModeForChildListener$ActionModeCallbackWrapper,true
False,False,False,False,False,False,False,org.mariotaku.twidere.activity.SettingsActivity$1,true
False,False,False,False,False,False,False,org.mariotaku.twidere.fragment.support.QuickMenuFragment$1,true
False,False,False,False,False,False,False,org.mariotaku.twidere.fragment.support.ColorPickerDialogFragment$1,true
False,False,False,False,False,False,False,org.mariotaku.twidere.util.AsyncTwitterWrapper$GetStatusesTask,true
False,False,False,False,False,False,False,org.mariotaku.twidere.util.net.OkHttpRestClient$OkHttpQueuedRequest$1,true
