is_static,is_enum,uses_variables,call_method,is_interface,is_local_class,full_name
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$1
false,false,false,false,false,false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$2
false,false,false,false,false,false,com.amaze.filemanager.services.asynctasks.GenerateMD5Task$2
false,false,false,false,false,false,com.amaze.filemanager.services.asynctasks.GenerateMD5Task$1
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$5
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$6
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$3
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$4
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$9
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$7
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$8
false,false,false,false,false,false,com.amaze.filemanager.services.ZipTask$1
false,false,false,false,false,false,com.amaze.filemanager.ui.icons.IconHolder$1
false,false,false,false,false,false,com.amaze.filemanager.ui.icons.IconHolder$2
false,false,false,false,false,false,com.amaze.filemanager.fragments.TabFragment$ScreenSlidePagerAdapter
false,false,false,false,false,false,com.amaze.filemanager.adapters.HiddenAdapter$1
false,false,false,false,false,false,com.amaze.filemanager.adapters.HiddenAdapter$2
false,false,false,false,false,false,com.androidemu.nes.EmulatorActivity$4
false,false,false,false,false,false,com.androidemu.nes.EmulatorActivity$3
false,false,false,false,false,false,com.androidemu.nes.EmulatorActivity$6
false,false,false,false,false,false,com.androidemu.nes.EmulatorActivity$5
false,false,false,false,false,false,com.androidemu.nes.CheatsActivity$1
false,false,false,false,false,false,com.androidemu.nes.NetPlayService$TCPServerThread
false,false,false,false,false,false,com.androidemu.nes.NetPlayService$NetThread
false,false,false,false,false,false,com.androidemu.nes.EmulatorActivity$2
false,false,false,false,false,false,com.androidemu.nes.EmulatorActivity$1
false,false,false,false,false,false,com.androidemu.nes.DeviceListActivity$1
false,false,false,false,false,false,com.androidemu.nes.DeviceListActivity$3
false,false,false,false,false,false,com.androidemu.nes.DeviceListActivity$2
false,false,false,false,false,false,com.androidemu.Emulator$1
false,false,false,false,false,false,com.androidemu.nes.EmulatorActivity$NetWaitDialog
false,false,false,false,false,false,com.androidemu.Cheats$Item
false,false,false,false,false,false,com.androidemu.nes.NetPlayService$BluetoothClientThread
false,false,false,false,false,false,com.androidemu.nes.KeyProfilesActivity$2
false,false,false,false,false,false,com.androidemu.nes.KeyProfilesActivity$1
false,false,false,false,false,false,com.androidemu.nes.StateSlotsActivity$SaveSlotAdapter
false,false,false,false,false,false,com.androidemu.nes.NetPlayService$TCPClientThread
false,false,false,false,false,false,com.androidemu.nes.NetPlayService$BluetoothServerThread
false,false,false,false,false,false,com.androidemu.nes.MainActivity$1
false,false,false,false,false,false,com.androidemu.nes.HelpActivity$1
false,false,false,false,false,false,anupam.acrylic.EasyPaint$2
false,false,false,false,false,false,anupam.acrylic.EasyPaint$1
false,false,false,false,false,false,anupam.acrylic.Splash$1
false,false,false,false,false,false,anupam.acrylic.EasyPaint$6
false,false,false,false,false,false,anupam.acrylic.EasyPaint$5
false,false,false,false,false,false,anupam.acrylic.EasyPaint$4
false,false,false,false,false,false,anupam.acrylic.EasyPaint$3
false,false,false,false,false,false,anupam.acrylic.EasyPaint$MyView
