is_static,is_enum,uses_variables,call_method,is_interface,is_local_class,call_external_method,full_name
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.HSA_Umrechner$android.widget.SeekBar$OnSeekBarChangeListener3
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.HSA_Umrechner$android.widget.SeekBar$OnSeekBarChangeListener4
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.HSA_Umrechner$android.widget.Button$OnClickListener6
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.HSA_Umrechner$android.widget.Button$OnClickListener7
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.MainActivity$android.widget.AdapterView$OnItemClickListener1
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Powervektoren$InputFilterMinMax
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Powervektoren$android.widget.Button$OnClickListener1
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Powervektoren$android.widget.Button$OnClickListener2
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Powervektoren$android.widget.Button$OnClickListener3
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Raytracing_Berechnung$android.view.View$OnClickListener1
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Raytracing_Start$android.view.View$OnClickListener1
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Schott$android.widget.AdapterView$OnItemSelectedListener1
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Schott$android.widget.AdapterView$OnItemSelectedListener2
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Schott$android.view.View$OnClickListener3
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Shape$android.widget.AdapterView$OnItemSelectedListener1
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Shape$android.widget.AdapterView$OnItemSelectedListener2
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Shape$android.widget.CompoundButton$OnCheckedChangeListener3
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Shape$android.widget.CompoundButton$OnCheckedChangeListener4
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Shape$android.view.View$OnClickListener5
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Transmission_Berechnung$android.view.View$OnClickListener1
false,false,false,false,false,false,true,de.HS_Aalen.OptikFormelrechner.Transmission_Start$android.view.View$OnClickListener1
false,false,false,false,false,false,true,de.nproth.pin.NoteActivity$android.widget.TextView$OnEditorActionListener1
false,false,false,false,false,false,true,de.nproth.pin.NoteActivity$android.view.View$OnLongClickListener2
false,false,false,false,false,false,true,de.nproth.pin.NoteActivity$de.nproth.pin.RotaryControlView$OnValueChangedListener3
false,false,false,false,false,false,true,de.nproth.pin.NoteActivity$android.view.View$OnLongClickListener4
false,false,false,false,false,false,true,de.nproth.pin.NoteActivity$java.lang.Runnable6
true,false,false,false,false,false,false,de.nproth.pin.NotesProvider$Notes
false,false,false,false,false,false,true,de.nproth.pin.NotesProvider$android.database.sqlite.SQLiteOpenHelper1
false,false,false,false,true,false,false,de.nproth.pin.RotaryControlView$OnValueChangedListener
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.AddCustomCoinActivity$android.view.View$OnClickListener1
